,Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,ID,Genre
0,Atelier Ryza 2: Lost Legends & the Secret Fairy    Read the review,PS5,Unknown,Gust,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Dec 20,227924,Role-Playing
1,Bloodroots    Read the review,XS,Unknown,Paper Cult,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17th Aug 21,229519,Action
2,Bodycount    Read the review,X360,Codemasters,Guildford Studio,5.5,4.8,N/A,N/A,0.11m,0.07m,0.03m,N/A,0.01m,30th Aug 11,N/A,43864,Shooter
3,Down in Bermuda    Read the review,XOne,Unknown,Yak & co,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Jan 21,228135,Puzzle
4,Lake    Read the review,PC,Unknown,Gamious,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Sep 21,229759,Adventure
5,Life is Strange: True Colors    Read the review,XS,Unknown,Deck Nine Games,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Jun 21,229094,Adventure
6,Need a Packet?    Read the review,PSV,Unknown,Marginal act,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Jul 20,226950,Simulation
7,Phogs!    Read the review,XOne,Unknown,Bit Loom Studios,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Dec 20,227964,Puzzle
8,Sludge Life    Read the review,NS,Unknown,Terri Vellmann,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Jun 21,228881,Adventure
9,Wing of Darkness    Read the review,PS4,Unknown,Production Exabilities,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Jun 21,228844,Shooter
10,Assassin's Creed: Bloodlines    Read the review,PSP,Ubisoft,Griptonite Studio,5.4,6.3,N/A,N/A,1.26m,0.43m,0.50m,0.05m,0.28m,17th Nov 09,N/A,35187,Action
11,Dark Void Zero    Read the review,DSiW,Capcom,Other Ocean Interactive,5.3,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Jan 10,N/A,42066,Platform
12,Night at the Museum: Battle of the Smithsonian    Read the review,X360,Majesco,"Pipeworks Software, Inc.",5.3,5.4,N/A,N/A,0.11m,0.07m,0.03m,N/A,0.01m,05th May 09,N/A,33337,Action
13,The Lord of the Rings: Conquest    Read the review,X360,Electronic Arts,Pandemic Studios,5.3,5.9,N/A,N/A,0.63m,0.37m,0.20m,N/A,0.06m,13th Jan 09,N/A,25383,Action
14,Wii Play    Read the review,Wii,Nintendo,Nintendo EAD,5.3,5.9,4.5,28.02m,N/A,N/A,N/A,N/A,N/A,12th Feb 07,N/A,2666,Misc
15,Academy of Champions: Soccer    Read the review,Wii,Ubisoft,Ubisoft Vancouver,5.2,7.1,N/A,N/A,0.12m,0.09m,0.02m,N/A,0.01m,03rd Nov 09,N/A,35502,Sports
16,Crystal Defenders R1    Read the review,WW,Square Enix,Square Enix,5.2,6.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Apr 09,N/A,30895,Strategy
