,ID,Name,Genre,Console,Rating,Global_Sales,VGChartz Score,Critic Score,Critic_Count,User Score,User_Count,Release Date
28,28004,BioShock 2,Shooter,PS3,M,1.54,9.1,8.5,62.0,,492.0,09th Feb 10
29,28002,BioShock 2,Shooter,X360,M,2.2,9.1,8.6,93.0,,573.0,09th Feb 10
30,44025,DiRT 3,Racing,X360,T,0.72,9.1,9.1,81.0,,166.0,24th May 11
31,7703,Heavy Rain,Adventure,PS3,M,3.03,9.1,8.8,107.0,8.6,2759.0,23rd Feb 10
32,12253,Killzone 2,Shooter,PS3,M,3.01,9.1,9.1,94.0,9.3,1505.0,27th Feb 09
34,26681,Monster Hunter Tri,Role-Playing,Wii,T,2.22,9.1,8.1,70.0,10.0,219.0,20th Apr 10
35,35076,New Super Mario Bros. Wii,Platform,Wii,E,28.32,9.1,8.6,80.0,9.2,594.0,15th Nov 09
36,31326,Red Dead Redemption,Action,PS3,M,6.49,9.1,9.5,73.0,,2456.0,11th Oct 11
37,31325,Red Dead Redemption,Action,X360,M,6.32,9.1,9.5,96.0,10.0,2316.0,18th May 10
38,12846,Rock Band,Misc,PS3,T,1.62,9.1,9.1,35.0,,107.0,20th Nov 07
39,6965,Rock Band,Misc,X360,T,2.47,9.1,9.1,72.0,,178.0,20th Nov 07
40,13112,Street Fighter IV,Fighting,PS3,T,4.16,9.1,9.3,61.0,9.0,330.0,17th Feb 09
41,16065,Street Fighter IV,Fighting,X360,T,2.94,9.1,9.3,77.0,9.3,292.0,17th Feb 09
42,27959,The Witcher: Enhanced Edition,Role-Playing,PC,M,0.32,9.1,8.3,30.0,,1660.0,16th Sep 08
44,29053,Assassin's Creed II,Action,PS3,M,5.55,9.0,9.0,70.0,,1202.0,17th Nov 09
45,29056,Assassin's Creed II,Action,X360,M,5.26,9.0,9.1,82.0,,1305.0,17th Nov 09
46,31494,Batman: Arkham Asylum,Action,X360,T,3.48,9.0,9.1,78.0,,1080.0,25th Aug 09
47,28847,Call of Duty: Modern Warfare 2,Shooter,PS3,M,10.6,9.0,9.5,67.0,,2073.0,10th Nov 09
48,28848,Call of Duty: Modern Warfare 2,Shooter,X360,M,13.47,9.0,9.5,100.0,9.0,2698.0,10th Nov 09
49,641,Elite Beat Agents,Misc,DS,E10+,0.36,9.0,8.4,51.0,,105.0,06th Nov 06
50,34959,FIFA Soccer 10,Sports,PS3,E,3.62,9.0,9.0,56.0,,203.0,20th Oct 09
51,35354,FIFA Soccer 10,Sports,X360,E,2.62,9.0,8.9,63.0,,133.0,20th Oct 09
52,13437,Final Fantasy IV,Role-Playing,DS,E10+,1.21,9.0,8.5,52.0,9.0,164.0,21st Jul 08
53,7727,Final Fantasy XIII,Role-Playing,PS3,T,5.33,9.0,8.0,83.0,9.2,2483.0,09th Mar 10
54,24628,Final Fantasy XIII,Role-Playing,X360,T,2.16,9.0,8.1,54.0,,539.0,09th Mar 10
55,16548,Gears of War 2,Shooter,X360,M,6.75,9.0,9.4,90.0,9.5,2739.0,07th Nov 08
56,38409,God of War Collection,Action,PS3,M,2.6,9.0,9.2,50.0,,529.0,17th Nov 09
57,7102,Grand Theft Auto IV,Action,PS3,M,10.5,9.0,10.0,64.0,9.0,2833.0,29th Apr 08
58,7103,Grand Theft Auto IV,Action,X360,M,11.01,9.0,10.0,86.0,,2951.0,29th Apr 08
59,3535,Jeanne d'Arc,Role-Playing,PSP,T,0.33,9.0,8.4,45.0,,74.0,21st Aug 07
60,24035,Kirby Super Star Ultra,Platform,DS,E,2.92,9.0,7.3,40.0,,76.0,22nd Sep 08
61,35022,Left 4 Dead 2,Shooter,PC,M,0.36,9.0,9.0,55.0,,2530.0,17th Nov 09
62,35020,Left 4 Dead 2,Shooter,X360,M,3.97,9.0,9.0,76.0,,681.0,17th Nov 09
63,13008,Professor Layton and the Diabolical Box,Adventure,DS,E10+,3.94,9.0,8.5,65.0,,72.0,24th Aug 09
65,31023,The Beatles: Rock Band,Misc,PS3,T,1.12,9.0,8.7,60.0,,59.0,09th Sep 09
66,31026,The Beatles: Rock Band,Misc,Wii,T,1.71,9.0,9.0,25.0,,43.0,09th Sep 09
67,31024,The Beatles: Rock Band,Misc,X360,T,1.3,9.0,8.9,76.0,,127.0,09th Sep 09
68,32942,The Legend of Zelda: Spirit Tracks,Adventure,DS,E10+,3.31,9.0,8.7,75.0,,228.0,07th Dec 09
69,14750,Dissidia: Final Fantasy,Fighting,PSP,T,2.23,8.9,8.1,61.0,10.0,139.0,25th Aug 09
70,13868,Left 4 Dead,Shooter,X360,M,3.51,8.9,8.7,67.0,9.0,1309.0,18th Oct 08
71,27610,No More Heroes 2: Desperate Struggle,Action,Wii,M,0.39,8.9,8.5,68.0,,184.0,26th Jan 10
72,41581,PixelJunk Monsters Deluxe,Strategy,PSP,E,0.12,8.9,8.7,27.0,,32.0,27th Apr 10
73,25553,Rhythm Heaven,Music,DS,E,3.11,8.9,8.5,48.0,,63.0,05th Apr 09
74,33214,Silent Hill: Shattered Memories,Adventure,Wii,M,0.47,8.9,7.3,56.0,6.8,226.0,08th Dec 09
75,13820,StarCraft II: Wings of Liberty,Strategy,PC,T,4.84,8.9,9.3,82.0,,3052.0,27th Jul 10
76,2281,Super Mario Sunshine,Platform,GC,E,6.31,8.9,9.2,61.0,,439.0,25th Aug 02
77,31444,Battlefield: Bad Company 2,Shooter,PC,M,0.72,8.8,8.8,46.0,,1467.0,02nd Mar 10
78,23993,Call of Duty: World at War,Shooter,PS3,M,5.39,8.8,8.4,45.0,,409.0,10th Nov 08
79,23992,Call of Duty: World at War,Shooter,X360,M,7.38,8.8,8.5,84.0,7.8,580.0,10th Nov 08
80,24237,Chrono Trigger,Role-Playing,DS,E10+,1.34,8.8,9.2,57.0,,440.0,25th Nov 08
81,30331,Disgaea 2: Dark Hero Days,Role-Playing,PSP,T,0.25,8.8,8.1,33.0,,47.0,08th Sep 09
82,843,Gears of War,Shooter,X360,M,6.09,8.8,9.4,88.0,9.4,2295.0,07th Nov 06
83,6964,Halo 3,Shooter,X360,M,12.12,8.8,9.6,86.0,9.5,4100.0,25th Sep 07
84,7198,ICO,Adventure,PS2,T,0.47,8.8,8.8,59.0,,328.0,24th Sep 01
85,25648,Little King's Story,Strategy,Wii,T,0.29,8.8,8.5,50.0,9.0,86.0,21st Jul 09
86,24996,NBA 2K9,Sports,PS3,E,0.61,8.8,8.3,30.0,,37.0,07th Oct 08
87,32735,Ninja Gaiden Sigma 2,Action,PS3,M,0.85,8.8,8.5,52.0,,115.0,29th Sep 09
89,34998,Scribblenauts,Puzzle,DS,E10+,2.16,8.8,8.2,72.0,,110.0,15th Sep 09
90,18652,Tales of Vesperia,Role-Playing,X360,T,0.74,8.8,8.1,67.0,9.2,264.0,26th Aug 08
91,6071,The Elder Scrolls IV: Oblivion,Role-Playing,PS3,M,3.1,8.8,9.3,45.0,,604.0,20th Mar 07
92,636,The Elder Scrolls IV: Oblivion,Role-Playing,X360,M,4.38,8.8,9.2,90.0,,1109.0,07th Jul 09
93,17805,The Sims 3,Simulation,PC,T,8.01,8.8,8.5,75.0,,886.0,02nd Jun 09
94,32292,Tiger Woods PGA Tour 10,Sports,Wii,E,1.07,8.8,9.0,44.0,,57.0,08th Jun 09
96,24656,Wii Sports Resort,Sports,Wii,E,32.77,8.8,8.0,73.0,8.8,192.0,26th Jul 09
97,7706,Advance Wars: Days of Ruin,Strategy,DS,E10+,0.61,8.7,8.4,55.0,,96.0,21st Jan 08
98,29384,Age of Empires: Mythologies,Strategy,DS,E10+,0.21,8.7,8.2,28.0,,20.0,24th Nov 08
99,25237,Braid,Platform,PC,E10+,0.03,8.7,8.8,11.0,,819.0,10th Apr 09
101,31932,Dead Space Extraction,Shooter,Wii,M,0.47,8.7,8.2,76.0,,82.0,28th Sep 09
102,31689,Demon's Souls,Role-Playing,PS3,M,1.82,8.7,9.1,81.0,9.5,1441.0,06th Oct 09
103,3316,Final Fantasy Tactics: The War of the Lions,Role-Playing,PSP,T,1.16,8.7,8.9,41.0,,238.0,09th Oct 07
105,22383,MadWorld,Action,Wii,M,0.77,8.7,8.1,74.0,8.1,176.0,10th Mar 09
106,6968,Mario Kart Wii,Racing,Wii,E,35.52,8.7,8.2,73.0,9.1,709.0,27th Apr 08
107,16067,Mass Effect,Role-Playing,PC,M,0.67,8.7,9.1,45.0,,2386.0,28th May 08
108,22061,MotorStorm: Pacific Rift,Racing,PS3,T,1.35,8.7,8.0,63.0,8.7,318.0,28th Oct 08
109,15255,Resistance 2,Shooter,PS3,M,2.46,8.7,8.5,79.0,8.7,1889.0,04th Nov 08
110,23722,Sid Meier's Civilization Revolution,Strategy,PS3,E10+,0.78,8.7,8.4,39.0,,87.0,08th Jul 08
111,12778,Uncharted: Drake's Fortune,Action,PS3,T,4.92,8.7,8.7,66.0,8.6,2306.0,16th Nov 07
112,13325,Unreal Tournament III,Shooter,PS3,M,0.67,8.7,8.6,42.0,,127.0,11th Dec 07
113,12466,Virtua Fighter 5 Online,Fighting,X360,T,0.28,8.7,9.2,36.0,,62.0,30th Oct 07
114,13825,Borderlands,Shooter,PS3,M,2.09,8.6,8.2,58.0,,427.0,20th Oct 09
115,13826,Borderlands,Shooter,X360,M,3.44,8.6,8.3,83.0,,715.0,20th Oct 09
118,3330,Final Fantasy XII: Revenant Wings,Role-Playing,DS,E10+,1.37,8.6,8.2,44.0,,60.0,20th Nov 07
119,25700,Fire Emblem: Shadow Dragon,Strategy,DS,E10+,0.61,8.6,8.2,42.0,,106.0,16th Feb 09
120,33187,Madden NFL 10,Sports,PS3,E,2.37,8.6,8.5,41.0,,58.0,14th Aug 09
121,33189,Madden NFL 10,Sports,X360,E,2.83,8.6,8.6,58.0,,90.0,14th Aug 09
122,33609,Muramasa: The Demon Blade,Role-Playing,Wii,T,0.6,8.6,8.0,58.0,9.3,101.0,08th Sep 09
123,31147,Need for Speed: Shift,Racing,PS3,E,2.65,8.6,8.2,55.0,,113.0,15th Sep 09
124,31149,Need for Speed: Shift,Racing,X360,E,1.91,8.6,8.2,75.0,,134.0,15th Sep 09
125,35054,NHL 10,Sports,PS3,E10+,0.57,8.6,9.1,35.0,,40.0,15th Sep 09
126,35055,NHL 10,Sports,X360,E10+,0.66,8.6,9.1,52.0,,71.0,15th Sep 09
127,23265,Rune Factory: Frontier,Role-Playing,Wii,E10+,0.37,8.6,7.9,34.0,,39.0,17th Mar 09
128,16649,Space Invaders Extreme,Shooter,DS,E,0.15,8.6,8.3,41.0,,16.0,17th Jun 08
129,26680,Yakuza 3,Adventure,PS3,M,1.12,8.6,7.9,77.0,,165.0,09th Mar 10
130,13684,Boom Blox,Puzzle,Wii,E,1.21,8.5,8.6,61.0,8.9,105.0,06th May 08
132,7385,Crisis Core: Final Fantasy VII,Role-Playing,PSP,T,3.18,8.5,8.1,67.0,9.0,463.0,25th Mar 08
133,28960,DiRT 2,Racing,PS3,T,0.99,8.5,8.8,63.0,,94.0,08th Sep 09
134,28959,DiRT 2,Racing,X360,T,0.8,8.5,8.8,65.0,,110.0,08th Sep 09
135,33502,Dragon Age: Origins,Role-Playing,PS3,M,1.67,8.5,8.7,41.0,,597.0,03rd Nov 09
136,32212,ExciteBots: Trick Racing,Racing,Wii,E,0.26,8.5,7.7,29.0,,26.0,20th Apr 09
137,7636,Fable II,Role-Playing,X360,M,4.27,8.5,9.0,95.0,9.3,2423.0,21st Oct 08
138,35237,Half-Minute Hero,Role-Playing,PSP,E10+,0.18,8.5,8.5,41.0,,38.0,13th Oct 09
139,7397,Kingdom Hearts 358/2 Days,Role-Playing,DS,E10+,1.98,8.5,7.5,53.0,,162.0,29th Sep 09
140,7635,Mass Effect,Role-Playing,X360,M,2.91,8.5,9.2,74.0,9.1,1692.0,20th Nov 07
141,30086,MLB 09: The Show,Sports,PS3,E,0.72,8.5,8.9,27.0,,61.0,03rd Mar 09
142,3850,MotorStorm,Racing,PS3,T,3.87,8.5,8.2,9.0,,220.0,06th Mar 07
143,13444,Patapon,Platform,PSP,E,0.81,8.5,8.7,60.0,,102.0,26th Feb 08
144,32805,Picross 3D,Puzzle,DS,E,0.49,8.5,8.7,35.0,,33.0,03rd May 10
146,1893,Resistance: Fall of Man,Shooter,PS3,M,4.34,8.5,8.5,70.0,9.1,715.0,14th Nov 06
147,23927,Shaun White Snowboarding: Road Trip,Sports,Wii,E10+,1.66,8.5,7.8,28.0,,22.0,16th Nov 08
148,34867,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,Role-Playing,PS2,M,0.13,8.5,8.0,23.0,,26.0,12th May 09
149,21982,Sid Meier's Civilization Revolution,Strategy,DS,E10+,0.44,8.5,8.2,26.0,7.6,21.0,08th Jul 08
150,16290,The Movies,Simulation,PC,T,0.04,8.5,8.2,62.0,,131.0,08th Nov 05
151,33988,Ace Attorney Investigations: Miles Edgeworth,Adventure,DS,T,0.7,8.4,7.7,51.0,,79.0,16th Feb 10
152,25465,Bayonetta,Action,PS3,M,1.21,8.4,8.6,54.0,7.2,355.0,05th Jan 10
153,23991,Call of Duty: World at War,Shooter,Wii,M,1.94,8.4,8.1,19.0,8.9,78.0,10th Nov 08
154,23324,Dead Space,Shooter,PC,M,0.59,8.4,8.8,28.0,,1093.0,20th Oct 08
