,Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,ID,Genre
115,Sphinx and the Cursed Mummy    Read the review,NS,THQ Nordic,Eurocom,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Jan 19,30th Dec 18,223188,Action-Adventure
116,Star Wars Pinball    Read the review,NS,Unknown,Zen Studios,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Oct 19,225668,Simulation
117,Steam Tactics    Read the review,PSV,Unknown,Igor Rashkuev,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Jul 20,227031,Strategy
118,Streets Of Rage 4 - Mr. X Nightmare    Read the review,NS,Unknown,Lizardcube,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Jul 21,229417,Action
119,Streets of Rogue    Read the review,NS,Unknown,Matt Dabrowski,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Jul 19,225262,Action
120,Super Mario 3D All-Stars    Read the review,NS,Nintendo,Nintendo,7.0,N/A,N/A,9.01m,N/A,N/A,N/A,N/A,N/A,18th Sep 20,04th Sep 20,227276,Platform
121,Super Mario Party    Read the review,NS,Nintendo,"Nd Cube Co., Ltd.",7.0,7.3,N/A,15.72m,N/A,N/A,N/A,N/A,N/A,05th Oct 18,19th Nov 18,222153,Party
122,Terraria    Read the review,NS,505 Games,Re-Logic,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Jun 19,23rd Sep 19,225654,Action-Adventure
123,Tetris Effect Connected    Read the review,XOne,Enhance,"Tetris Online, Inc",7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 20,23rd Jul 20,226988,Puzzle
124,The Aquatic Adventure of the Last Human    Read the review,NS,Digerati,YCJY,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Jan 19,22nd Dec 18,223247,Action-Adventure
125,The Bradwell Conspiracy    Read the review,XOne,Unknown,A Brave Plan,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Oct 19,225686,Puzzle
126,The Caligula Effect: Overdose    Read the review,PS4,NIS America,Historia,7.0,N/A,N/A,N/A,0.04m,N/A,N/A,0.04m,N/A,12th Mar 19,24th Feb 19,221940,Role-Playing
127,The Eyes of Ara    Read the review,NS,Unknown,100 Stones Interactive,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,05th Oct 19,225674,Puzzle
128,The Final Station    Read the review,NS,TinyBuild Games,Do My Best,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Feb 18,22nd Feb 18,221135,Action
129,The Great Ace Attorney 2 - The Resolve of Ryuunosuke Naruhodou    Read the review,3DS,Capcom,Capcom,7.0,N/A,N/A,N/A,0.12m,N/A,N/A,0.12m,N/A,03rd Aug 17,03rd Aug 18,194674,Adventure
130,The Hong Kong Massacre    Read the review,PC,Unknown,VRESKI,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Feb 19,223701,Shooter
131,The Last of Us Part II    Read the review,PS4,Sony Interactive Entertainment,Naughty Dog,7.0,N/A,N/A,4.00m,N/A,N/A,N/A,N/A,N/A,19th Jun 20,25th Jul 20,147592,Action
132,The Legend of Heroes: Trails of Cold Steel IV    Read the review,PS4,NIS America,Falcom,7.0,N/A,N/A,N/A,0.13m,N/A,N/A,0.13m,N/A,27th Oct 20,18th Aug 18,222662,Role-Playing
133,The Mind's Eclipse    Read the review,PC,Mind's Eclipse Interactive,Unknown,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Jan 18,28th Jan 18,220920,Visual Novel
134,The Outer Worlds    Read the review,PC,Private Division,Obsidian Entertainment,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Oct 19,06th Jun 19,223132,Role-Playing
135,The Pedestrian    Read the review,PC,Skookum Arts,Skookum Arts,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Jan 20,13th Feb 20,226115,Puzzle
136,The Persistence    Read the review,PS4,Sony Interactive Entertainment,Firesprite,7.0,N/A,N/A,N/A,0.04m,N/A,0.03m,N/A,0.01m,24th Jul 18,24th Sep 18,222399,Action-Adventure
137,The Surge 2    Read the review,XOne,Focus Home Interactive,DECK13 Interactive,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Sep 19,24th Mar 19,224068,Action-Adventure
138,Thronebreaker: The Witcher Tales    Read the review,NS,CD Projekt Red Studio,CD Projekt Red Studio,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Jan 20,22nd Feb 20,226205,Role-Playing
139,Through the Darkest of Times    Read the review,XOne,Unknown,Paintbucket Games,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Sep 20,227302,Strategy
140,Tokyo Xanadu eX+    Read the review,PS4,Aksys Games,Nihon Falcom Corporation,7.0,N/A,N/A,N/A,0.10m,0.05m,N/A,0.05m,0.01m,08th Dec 17,N/A,117008,Role-Playing
141,Transference    Read the review,PS4,Ubisoft,Ubisoft Montreal,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18th Sep 18,12th Oct 18,222947,Puzzle
142,Trials of Mana    Read the review,NS,Square Enix,Square Enix,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Apr 20,11th Jun 19,225067,Role-Playing
143,Trine 4: The Nightmare Prince     Read the review,NS,Modus Games,Frozenbyte,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,08th Oct 19,08th Jun 19,222982,Action-Adventure
144,Trine Enchanted Edition    Read the review,NS,Frozenbyte,Frozenbyte,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Nov 18,16th Nov 18,223064,Action
145,Ultimate NES Remix    Read the review,3DS,Nintendo,Nintendo,7.0,7.0,N/A,N/A,0.33m,0.19m,0.11m,N/A,0.03m,05th Dec 14,29th May 18,84501,Action
146,Unruly Heroes    Read the review,NS,Unknown,Magic Design Studios,7.0,N/A,9.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th Jan 19,223363,Platform
147,Untitled Goose Game    Read the review,NS,Panic,House House,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Sep 19,13th Sep 19,223036,Simulation
148,Valfaris    Read the review,NS,Big Sugar,Steel Mantis,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Nov 19,12th Jun 19,225094,Action
149,War Theatre    Read the review,PSV,Arcade Distillery,Arcade Distillery,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Mar 19,04th Apr 19,224600,Strategy
150,Warlocks 2: God Slayers    Read the review,PC,Unknown,Frozen District,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19th Jul 19,225267,Action-Adventure
151,Wreckfest    Read the review,PS4,THQ Nordic,Bugbear Entertainment,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Mar 19,19th Dec 18,222965,Racing
152,Yakuza: Kiwami 2    Read the review,PS4,Sega,Sega,7.0,N/A,N/A,N/A,0.37m,0.08m,0.06m,0.19m,0.03m,28th Aug 18,07th Jan 18,198943,Action
153,Your Shape: Fitness Evolved    Read the review,X360,Ubisoft,Ubisoft Montreal,7.0,7.0,N/A,2.00m,N/A,N/A,N/A,N/A,N/A,04th Nov 10,N/A,45626,Sports
154,Beats    Read the review,PSN,Sony Computer Entertainment,SCEE London Studio,7.0,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Dec 07,N/A,38178,Misc
155,Buzz! Quiz TV - Add-On: American Culture    Read the review,PSN,Sony Computer Entertainment,Relentless Software,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Jan 09,N/A,30900,Misc
156,Crush    Read the review,PSP,Sega,Zoe Mode,7.0,8.5,N/A,N/A,0.08m,0.07m,0.00m,N/A,0.01m,29th May 07,N/A,6059,Puzzle
157,Dante's Inferno    Read the review,PSP,Electronic Arts,Visceral Games,7.0,6.6,N/A,N/A,0.20m,0.12m,0.04m,0.01m,0.02m,02nd Mar 10,N/A,33704,Action
158,Deep Labyrinth    Read the review,DS,Atlus,Unknown,7.0,N/A,N/A,N/A,0.07m,0.06m,N/A,N/A,0.00m,15th Aug 06,N/A,495,Action
159,Final Fantasy Crystal Chronicles: My Life as a Darklord    Read the review,WW,Square Enix,Square Enix,7.0,7.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Jul 09,N/A,32951,Strategy
