,Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,ID,Genre
29,Bayonetta    Read the review,PS3,Sega,PlatinumGames,8.4,8.6,7.2,N/A,1.21m,0.44m,0.40m,0.21m,0.16m,05th Jan 10,N/A,25465,Action
30,Call of Duty: World at War    Read the review,Wii,Activision,EXAKT Entertainment,8.4,8.1,8.9,N/A,1.94m,1.17m,0.58m,N/A,0.18m,10th Nov 08,N/A,23991,Shooter
31,Dead Space    Read the review,PC,Electronic Arts,EA Redwood Shores,8.4,8.8,N/A,N/A,0.59m,N/A,0.54m,N/A,0.06m,20th Oct 08,N/A,23324,Shooter
32,Dead Space    Read the review,PS3,Electronic Arts,EA Redwood Shores,8.4,8.9,N/A,N/A,2.00m,1.05m,0.66m,N/A,0.29m,13th Oct 08,N/A,13107,Shooter
33,Dead Space    Read the review,X360,Electronic Arts,EA Redwood Shores,8.4,8.9,N/A,N/A,1.40m,0.89m,0.39m,N/A,0.13m,13th Oct 08,N/A,23325,Shooter
34,Diablo III    Read the review,PC,Blizzard Entertainment,Blizzard Entertainment,8.4,9.0,N/A,12.00m,N/A,N/A,N/A,N/A,N/A,15th May 12,03rd Jan 18,24178,Role-Playing
35,Dragon Quest V: Hand of the Heavenly Bride    Read the review,DS,Square Enix,ArtePiazza,8.4,8.6,N/A,1.70m,N/A,N/A,N/A,N/A,N/A,17th Feb 09,N/A,7693,Role-Playing
36,Fat Princess    Read the review,PSN,Sony Computer Entertainment,Titan Studios,8.4,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Jul 09,N/A,24670,Action
37,Gran Turismo 5 Prologue    Read the review,PS3,Sony Computer Entertainment,Polyphony Digital,8.4,8.3,N/A,5.35m,N/A,N/A,N/A,N/A,N/A,15th Apr 08,N/A,6972,Racing
38,Halo 3: ODST    Read the review,X360,Microsoft Game Studios,Bungie,8.4,8.7,N/A,3.00m,N/A,N/A,N/A,N/A,N/A,22nd Sep 09,11th Oct 18,29077,Shooter
39,Halo Wars    Read the review,X360,Microsoft Game Studios,Ensemble Studios,8.4,8.1,8.5,1.00m,N/A,N/A,N/A,N/A,N/A,03rd Mar 09,N/A,7715,Strategy
40,Hydro Thunder Hurricane    Read the review,XBL,Microsoft Game Studios,Vector Unit Studios,8.4,7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Jul 10,N/A,44342,Racing
41,LocoRoco    Read the review,PSP,Sony Computer Entertainment,SCE Japan Studio,8.0,8.1,N/A,N/A,0.39m,0.14m,0.05m,0.16m,0.03m,05th Sep 06,17th Sep 18,1188,Platform
42,Plants vs. Zombies    Read the review,PC,PopCap Games,Unknown,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,05th May 09,N/A,72061,Misc
43,Plants vs. Zombies    Read the review,PC,PopCap Games,PopCap Games,8.4,9.0,N/A,1.65m,N/A,N/A,N/A,N/A,N/A,05th May 09,N/A,34015,Strategy
44,Prince of Persia    Read the review,PS3,Ubisoft,Ubisoft Montreal,8.4,8.3,8.2,N/A,1.07m,0.47m,0.41m,0.03m,0.17m,02nd Dec 08,N/A,24825,Adventure
45,Prince of Persia    Read the review,X360,Ubisoft,Ubisoft Montreal,8.4,8.2,6.0,N/A,1.01m,0.54m,0.34m,0.02m,0.10m,02nd Dec 08,N/A,24824,Adventure
46,Prinny: Can I Really Be the Hero?    Read the review,PSP,NIS America,Nippon Ichi Software,8.4,7.2,N/A,N/A,0.11m,0.04m,0.01m,0.05m,0.01m,17th Feb 09,N/A,29141,Platform
47,Resident Evil 5    Read the review,PS3,Capcom,Capcom,8.4,8.6,8.8,N/A,5.10m,1.96m,1.42m,1.08m,0.64m,13th Mar 09,N/A,7675,Action
48,Resident Evil 5    Read the review,X360,Capcom,Capcom,8.4,8.6,N/A,N/A,3.53m,2.13m,0.93m,0.12m,0.34m,13th Mar 09,N/A,7676,Action
49,Shatter    Read the review,PSN,Sidhe Interactive,Sidhe Interactive,8.4,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Jul 09,N/A,34533,Puzzle
50,Zeno Clash    Read the review,PC,Tripwire Interactive,ACE Team,8.4,N/A,N/A,0.32m,N/A,N/A,N/A,N/A,N/A,09th Oct 09,N/A,25352,Shooter
51,Band Hero    Read the review,PS3,Activision,Neversoft Entertainment,8.3,7.6,N/A,N/A,0.76m,0.41m,0.23m,N/A,0.12m,03rd Nov 09,N/A,34952,Misc
52,Band Hero    Read the review,X360,Activision,Neversoft Entertainment,8.3,7.6,N/A,N/A,0.79m,0.51m,0.21m,N/A,0.07m,03rd Nov 09,N/A,37171,Misc
53,Castlevania: Order of Ecclesia    Read the review,DS,Konami,Konami,8.3,8.2,9.2,N/A,0.37m,0.27m,0.03m,0.04m,0.03m,21st Oct 08,N/A,24075,Platform
54,Dragon Age: Origins    Read the review,X360,Electronic Arts,BioWare Edmonton,8.3,8.5,N/A,N/A,2.56m,1.76m,0.55m,0.03m,0.22m,03rd Nov 09,N/A,33505,Role-Playing
55,Endless Ocean    Read the review,Wii,Nintendo,Arika,8.3,6.8,N/A,N/A,1.06m,0.43m,0.46m,0.09m,0.09m,21st Jan 08,N/A,6979,Adventure
56,Fallout 3    Read the review,PC,Bethesda Softworks,Bethesda Game Studios,8.3,9.0,N/A,N/A,0.98m,0.02m,0.88m,N/A,0.07m,28th Oct 08,N/A,13869,Role-Playing
57,Fallout 3: Point Lookout    Read the review,PC,Bethesda Softworks,Bethesda Softworks,8.3,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Jun 09,N/A,34651,Role-Playing
58,Fallout 3: Point Lookout    Read the review,XBL,Bethesda Softworks,Bethesda Softworks,8.3,8.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Jun 09,N/A,34653,Role-Playing
59,Ghostbusters: The Video Game    Read the review,PS3,Atari,Terminal Reality,8.3,7.8,N/A,N/A,0.84m,0.34m,0.36m,N/A,0.14m,16th Jun 09,N/A,35368,Action
60,Ghostbusters: The Video Game    Read the review,X360,Atari,Terminal Reality,8.3,7.7,N/A,N/A,0.62m,0.43m,0.14m,N/A,0.06m,16th Jun 09,N/A,35367,Action
61,GRID 2    Read the review,X360,Codemasters,Unknown,8.3,N/A,N/A,N/A,0.27m,0.08m,0.17m,0.00m,0.02m,28th May 13,N/A,71502,Misc
62,Kahoots    Read the review,PSN,Honeyslug,Honeyslug,8.3,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Nov 09,N/A,39527,Simulation
63,Life is Strange    Read the review,XOne,Square Enix,DONTNOD Entertainment,8.3,N/A,N/A,N/A,0.12m,0.08m,0.03m,N/A,0.01m,19th Jan 16,07th Jan 18,84065,Adventure
64,Mirror's Edge    Read the review,PS3,Electronic Arts,EA Digital Illusions CE,8.3,7.7,8.2,N/A,1.13m,0.31m,0.59m,0.02m,0.21m,11th Nov 08,25th Mar 19,21685,Platform
65,Mirror's Edge    Read the review,X360,Electronic Arts,EA Digital Illusions CE,8.3,7.6,N/A,N/A,1.16m,0.51m,0.51m,0.01m,0.12m,11th Nov 08,25th Mar 19,21686,Platform
66,Ninja Gaiden: Dragon Sword    Read the review,DS,Tecmo,Team Ninja,8.3,8.0,N/A,0.34m,N/A,N/A,N/A,N/A,N/A,25th Mar 08,N/A,17391,Action
67,Ratchet & Clank Future: A Crack in Time    Read the review,PS3,Sony Computer Entertainment,Insomniac Games,8.3,8.7,9.0,N/A,1.89m,1.05m,0.55m,0.03m,0.26m,27th Oct 09,N/A,32975,Platform
68,Retro Game Challenge    Read the review,DS,Xseed Games,Bandai Namco Games,8.3,8.1,N/A,N/A,0.11m,N/A,N/A,0.11m,N/A,10th Feb 09,N/A,12807,Action
69,The Conduit    Read the review,Wii,Sega,High Voltage Software,8.3,6.6,8.2,0.27m,N/A,N/A,N/A,N/A,N/A,23rd Jun 09,N/A,19541,Shooter
70,Trine    Read the review,PSN,Nobilis,Frozenbyte,8.3,8.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Oct 09,N/A,29566,Platform
71,Unreal Tournament III    Read the review,X360,Midway Games,Epic Games,8.3,7.8,N/A,N/A,0.47m,0.25m,0.17m,0.01m,0.05m,07th Jul 08,N/A,14180,Shooter
72,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009    Read the review,DS,Konami,Konami,8.3,7.5,N/A,N/A,0.40m,0.27m,0.01m,0.09m,0.03m,19th May 09,N/A,33277,Action
73,3D Dot Game Heroes    Read the review,PS3,Atlus,Silicon Studio,8.2,7.5,N/A,0.16m,N/A,N/A,N/A,N/A,N/A,11th May 10,N/A,37830,Role-Playing
74,Bomberman Blast    Read the review,WW,Hudson Entertainment,Hudson Soft,8.2,8.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Sep 08,N/A,26260,Puzzle
75,Bomberman Ultra    Read the review,PSN,Hudson Soft,Hudson Soft,8.2,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Jun 09,N/A,27306,Puzzle
76,Castle Crashers    Read the review,XBL,The Behemoth,The Behemoth,8.2,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Aug 08,N/A,24884,Action
77,Darksiders    Read the review,PS3,THQ,Vigil Games,8.2,7.8,8.5,N/A,0.28m,0.02m,0.14m,0.02m,0.10m,05th Jan 10,N/A,25780,Action
78,Darksiders    Read the review,X360,THQ,Vigil Games,8.2,7.8,N/A,N/A,1.06m,0.67m,0.28m,0.01m,0.10m,05th Jan 10,N/A,25779,Action
79,Disgaea 3: Absence of Justice    Read the review,PS3,NIS America,Nippon Ichi Software,8.2,7.8,N/A,N/A,0.55m,0.36m,0.03m,0.11m,0.05m,26th Aug 08,N/A,7728,Role-Playing
80,F1 2010    Read the review,X360,Codemasters,Codemasters Birmingham,8.2,8.4,N/A,N/A,0.88m,0.18m,0.59m,0.01m,0.10m,21st Sep 10,N/A,33783,Racing
81,F1 2011    Read the review,X360,Codemasters,Codemasters Birmingham,8.2,8.5,N/A,N/A,0.72m,0.11m,0.50m,0.01m,0.09m,20th Sep 11,N/A,51209,Racing
82,Fallout 3    Read the review,PS3,Bethesda Softworks,Bethesda Game Studios,8.2,8.8,N/A,N/A,4.00m,2.18m,1.15m,0.07m,0.61m,28th Oct 08,N/A,6993,Role-Playing
83,Fallout 3    Read the review,X360,Bethesda Softworks,Bethesda Game Studios,8.2,9.0,8.6,N/A,4.96m,3.41m,0.99m,0.09m,0.46m,28th Oct 08,N/A,6992,Role-Playing
84,inFAMOUS    Read the review,PS3,Sony Computer Entertainment,Sucker Punch Productions,8.2,8.7,9.1,2.00m,N/A,N/A,N/A,N/A,N/A,26th May 09,N/A,13108,Action
85,Mega Man 10    Read the review,PSN,Capcom,Inti Creates,8.2,7.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Mar 10,N/A,41889,Platform
86,Mega Man 10    Read the review,WW,Capcom,Inti Creates,8.2,8.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Mar 10,N/A,41589,Platform
87,Mega Man 10    Read the review,XBL,Capcom,Inti Creates,8.2,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31st Mar 10,N/A,41888,Platform
88,MotorStorm RC    Read the review,PSV,Sony Computer Entertainment,Evolution Studios,8.2,N/A,N/A,N/A,0.07m,N/A,0.05m,N/A,0.01m,06th Mar 12,17th Jul 19,70139,Racing
89,Need for Speed: Shift 2 Unleashed    Read the review,X360,Electronic Arts,Slightly Mad Studios,8.2,8.5,N/A,N/A,0.44m,0.18m,0.21m,N/A,0.05m,29th Mar 11,N/A,46564,Racing
90,Nostalgia    Read the review,DS,Ignition Entertainment,Matrix Software / RED Entertainment,8.2,7.2,N/A,N/A,0.19m,0.16m,N/A,0.02m,0.01m,27th Oct 09,N/A,28940,Role-Playing
91,Star Ocean: The Last Hope International    Read the review,PS3,Square Enix,tri-Ace,8.2,8.1,9.5,N/A,0.73m,0.28m,0.15m,0.22m,0.07m,09th Feb 10,N/A,39111,Role-Playing
92,Teenage Mutant Ninja Turtles: Smash-Up    Read the review,Wii,Ubisoft,Game Arts,8.2,7.2,N/A,N/A,0.35m,0.33m,0.00m,N/A,0.03m,22nd Sep 09,N/A,31705,Fighting
93,The Godfather II    Read the review,PS3,Electronic Arts,EA Redwood Shores,8.2,6.4,N/A,N/A,0.74m,0.41m,0.21m,0.01m,0.10m,07th Apr 09,N/A,25591,Adventure
94,The Godfather II    Read the review,X360,Electronic Arts,EA Redwood Shores,8.2,6.2,N/A,N/A,0.79m,0.47m,0.23m,0.01m,0.08m,07th Apr 09,N/A,25590,Adventure
95,The House of the Dead: Overkill    Read the review,Wii,Sega,Headstrong Games,8.2,7.9,N/A,N/A,0.85m,0.44m,0.30m,0.02m,0.09m,10th Feb 09,N/A,25935,Shooter
96,Viva Pinata    Read the review,X360,Microsoft Game Studios,Rare Ltd.,8.2,8.4,N/A,1.00m,N/A,N/A,N/A,N/A,N/A,09th Nov 06,N/A,2619,Simulation
97,"What Did I Do to Deserve This, My Lord!? 2      Read the review",PSP,NIS America,Acquire,8.2,N/A,N/A,N/A,0.26m,0.06m,0.00m,0.18m,0.01m,04th May 10,N/A,27957,Role-Playing
98,Castlevania: The Adventure ReBirth    Read the review,WW,Konami,M2,8.1,8.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Dec 09,N/A,39056,Platform
99,Fallout 3: Broken Steel    Read the review,PC,Bethesda Softworks,Bethesda Softworks,8.1,7.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,05th May 09,N/A,31988,Role-Playing
100,Fallout 3: Broken Steel    Read the review,XBL,Bethesda Softworks,Bethesda Softworks,8.1,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,05th May 09,N/A,31833,Role-Playing
101,Final Fantasy IV: The After Years    Read the review,WW,Square Enix,Matrix Software,8.1,6.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Jun 09,N/A,32318,Role-Playing
102,Final Fantasy Tactics A2: Grimoire of the Rift    Read the review,DS,Square Enix,Square Enix,8.1,8.1,N/A,0.67m,N/A,N/A,N/A,N/A,N/A,24th Jun 08,N/A,12378,Role-Playing
103,Hot Shots Tennis: Get a Grip    Read the review,PSP,Sony Computer Entertainment,Clap Hanz,8.1,8.0,N/A,N/A,0.23m,0.08m,0.00m,0.13m,0.02m,29th Jun 10,N/A,42744,Sports
104,Killzone: Liberation    Read the review,PSP,Sony Computer Entertainment,Guerrilla Games,8.1,7.8,N/A,N/A,0.90m,0.44m,0.28m,N/A,0.19m,31st Oct 06,N/A,1113,Shooter
105,MAG: Massive Action Game    Read the review,PS3,Sony Computer Entertainment,Zipper Interactive,8.1,7.4,9.5,N/A,1.32m,0.77m,0.30m,0.09m,0.16m,26th Jan 10,N/A,35119,Shooter
106,Savage Moon    Read the review,PSN,Sony Computer Entertainment,FluffyLogic,8.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Jan 09,N/A,26015,Strategy
107,Skate 2    Read the review,PS3,Electronic Arts,EA Black Box,8.1,8.2,N/A,N/A,0.84m,0.46m,0.25m,0.01m,0.12m,21st Jan 09,N/A,27535,Sports
108,Skate 2    Read the review,X360,Electronic Arts,EA Black Box,8.1,8.2,N/A,N/A,1.09m,0.82m,0.17m,0.01m,0.09m,21st Jan 09,N/A,27534,Sports
109,Strong Bad's Cool Game for Attractive People Episode 4: Dangeresque 3: The Criminal Projective    Read the review,PC,Telltale Games,Telltale Games,8.1,8.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17th Nov 08,N/A,39663,Adventure
110,Strong Bad's Cool Game for Attractive People Episode 4: Dangeresque 3: The Criminal Projective    Read the review,WW,Nintendo,Telltale Games,8.1,8.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17th Nov 08,N/A,28763,Adventure
111,Suikoden Tierkreis    Read the review,DS,Konami,Konami,8.1,7.7,N/A,N/A,0.27m,0.09m,0.02m,0.15m,0.01m,17th Mar 09,N/A,32984,Role-Playing
112,Swords & Soldiers    Read the review,PSN,Ronimo Games,Ronimo Games,8.1,8.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Sep 10,N/A,46169,Strategy
113,WarioWare: Smooth Moves    Read the review,Wii,Nintendo,Intelligent Systems,8.1,8.2,N/A,2.35m,N/A,N/A,N/A,N/A,N/A,15th Jan 07,N/A,6151,Puzzle
114,Wipeout 2048    Read the review,PSV,Sony Computer Entertainment,Studio Liverpool,8.1,N/A,N/A,N/A,0.38m,0.13m,0.19m,N/A,0.06m,15th Feb 12,N/A,51793,Racing
115,[Prototype]    Read the review,PC,Activision,Radical Entertainment,8.1,7.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Jun 09,N/A,16096,Action
116,13 Sentinels: Aegis Rim    Read the review,PS4,Atlus,Vanillaware,8.0,N/A,N/A,0.40m,N/A,N/A,N/A,N/A,N/A,22nd Sep 20,22nd Mar 19,223327,Adventure
117,And Yet It Moves    Read the review,WW,Broken Rules,Broken Rules,8.0,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Aug 10,N/A,38043,Platform
118,Animal Crossing: New Horizons    Read the review,NS,Nintendo,Nintendo,8.0,N/A,N/A,33.89m,N/A,N/A,N/A,N/A,N/A,20th Mar 20,11th Apr 20,222779,Simulation
119,Assassin's Creed Valhalla    Read the review,XOne,Ubisoft,Ubisoft,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 20,30th Apr 20,226464,Action-Adventure
120,Blazing Chrome    Read the review,NS,The Arcade Crew,JoyMasher,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11th Jul 19,07th Jul 19,223283,Shooter
121,Bleeding Edge    Read the review,XOne,Xbox Game Studios,Ninja Theory,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Mar 20,04th Aug 20,224938,Action
122,Bloodstained: Curse of the Moon 2    Read the review,NS,Inti Creates,Inti Creates,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Jul 20,27th Jun 20,226872,Action
123,Catherine: Full Body    Read the review,PSV,Atlus,Atlus,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14th Feb 19,08th Apr 19,222768,Puzzle
124,Chivalry 2    Read the review,XS,Tripwire Interactive,Torn Banner Studios,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20,18th Jun 20,226815,Action
125,Clubhouse Games: 51 Worldwide Classics    Read the review,NS,Nintendo,Nintendo,8.0,N/A,N/A,3.14m,N/A,N/A,N/A,N/A,N/A,05th Jun 20,07th Apr 20,226406,Party
126,Code Vein    Read the review,PS4,Bandai Namco Entertainment,Bandai Namco Studios,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Sep 19,17th Jun 18,213651,Action
127,Control: AWE    Read the review,XOne,505 Games,Remedy Entertainment,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27th Aug 20,27th Sep 20,227393,Action-Adventure
128,Crash Bandicoot 4: It’s About Time    Read the review,XOne,Activision,Toys for Bob,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Oct 20,20th Jun 20,226847,Platform
129,CrossCode    Read the review,NS,Deck 13,Radical Fish Games,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Jul 20,08th Apr 19,223972,Role-Playing
130,Cyber Hook    Read the review,PC,Unknown,Blazing Stick,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Sep 20,227374,Platform
131,Cyber Shadow    Read the review,NS,Yacht Club Games,Mechanical Head Studios,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20,16th Jul 20,226937,Platform
132,Darius Cozmic Collection Arcade    Read the review,NS,Unknown,M2,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16th Jun 20,226761,Shooter
133,Dead or Alive 6    Read the review,PS4,Koei Tecmo,Team Ninja,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Feb 19,21st Mar 19,222178,Fighting
134,Death Mark    Read the review,PSV,Experience Inc.,Experience Inc.,8.0,N/A,N/A,N/A,0.03m,N/A,N/A,0.03m,N/A,01st Jun 17,17th Mar 19,187031,Adventure
135,Death Stranding Director's Cut    Read the review,PS5,Unknown,Kojima Productions,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Jun 21,228921,Action-Adventure
136,Death's Door    Read the review,XS,Unknown,Acid Nerve,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21st Jul 21,229385,Role-Playing
137,Detroit: Become Human    Read the review,PS4,Sony Interactive Entertainment,Quantic Dream,8.0,8.0,N/A,3.20m,N/A,N/A,N/A,N/A,N/A,25th May 18,05th Jun 18,86175,Adventure
138,Devil May Cry 3 Special Edition    Read the review,NS,Unknown,Capcom,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Feb 20,226220,Action
139,Diablo III: Eternal Collection    Read the review,NS,Blizzard Entertainment,Blizzard Entertainment,8.0,9.0,N/A,N/A,0.67m,0.38m,0.22m,0.01m,0.06m,02nd Nov 18,13th Sep 18,222641,Action
140,Disney Classic Games: Aladdin and The Lion King    Read the review,NS,Unknown,Disney Interactive,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,03rd Nov 19,225739,Platform
141,Doom Eternal    Read the review,PC,Bethesda Softworks,id Software,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th Mar 20,08th Jul 19,222183,Shooter
