,Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,ID,Genre
0,ExciteBots: Trick Racing    Read the review,Wii,Nintendo,Monster Games,8.5,7.7,N/A,N/A,0.28m,0.26m,N/A,N/A,0.02m,20th Apr 09,N/A,32212,Racing
1,Fable II    Read the review,X360,Microsoft Game Studios,Lionhead Studios,8.5,9.0,9.3,3.50m,N/A,N/A,N/A,N/A,N/A,21st Oct 08,N/A,7636,Role-Playing
2,Guilty Gear -Strive-    Read the review,PS5,Unknown,Arc System Works,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Mar 21,228381,Fighting
3,Half-Minute Hero    Read the review,PSP,Xseed Games,Opus Studio,8.5,8.5,N/A,0.07m,N/A,N/A,N/A,N/A,N/A,13th Oct 09,N/A,35237,Role-Playing
4,Hustle Kings    Read the review,PSN,Sony Computer Entertainment,VooFoo Studios,8.5,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28th Jan 10,25th Sep 18,35121,Sports
5,Kingdom Hearts 358/2 Days    Read the review,DS,Square Enix,High Horse Entertainment,8.5,7.5,N/A,1.70m,N/A,N/A,N/A,N/A,N/A,29th Sep 09,N/A,7397,Role-Playing
6,Mass Effect    Read the review,X360,Microsoft Game Studios,BioWare Edmonton,8.5,9.2,9.1,N/A,2.91m,1.83m,0.79m,0.03m,0.27m,20th Nov 07,N/A,7635,Role-Playing
7,Mass Effect 2: Lair of the Shadow Broker    Read the review,XBL,Electronic Arts,BioWare Edmonton,8.5,8.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Sep 10,N/A,46309,Role-Playing
8,MLB 09: The Show    Read the review,PS3,Sony Computer Entertainment,SCE San Diego Studio,8.5,8.9,N/A,N/A,0.72m,0.66m,N/A,N/A,0.06m,03rd Mar 09,04th Dec 18,30086,Sports
9,MotorStorm    Read the review,PS3,Sony Computer Entertainment,Evolution Studios,8.5,8.2,N/A,3.00m,N/A,N/A,N/A,N/A,N/A,06th Mar 07,N/A,3850,Racing
10,Patapon    Read the review,PSP,Sony Computer Entertainment,Pyramid/JAPAN Studio,8.5,8.7,N/A,N/A,0.82m,0.33m,0.25m,0.07m,0.17m,26th Feb 08,N/A,13444,Platform
11,Picross 3D    Read the review,DS,Nintendo,HAL Laboratory,8.5,8.7,N/A,N/A,0.50m,0.28m,0.03m,0.16m,0.03m,03rd May 10,N/A,32805,Puzzle
12,Pokémon Heart Gold / Soul Silver Version    Read the review,DS,Nintendo,Game Freak,8.5,8.6,N/A,12.72m,N/A,N/A,N/A,N/A,N/A,14th Mar 10,N/A,34267,Role-Playing
13,Punch-Out!!    Read the review,Wii,Nintendo,Next Level Games,8.5,8.7,N/A,1.14m,N/A,N/A,N/A,N/A,N/A,18th May 09,N/A,27314,Fighting
14,Resident Evil 8: Village    Read the review,PS4,Capcom,Capcom,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th May 21,09th Apr 21,228695,Action-Adventure
15,Resistance: Fall of Man    Read the review,PS3,Sony Computer Entertainment,Insomniac Games,8.5,8.5,9.1,2.12m,N/A,N/A,N/A,N/A,N/A,14th Nov 06,N/A,1893,Shooter
16,Russian Subway Dogs    Read the review,PSV,Unknown,Spooky Squid Games Inc.,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25th Jul 21,229415,Action
17,ScourgeBringer    Read the review,PSV,Unknown,Flying Oak Games,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,07th Mar 21,228396,Platform
18,Shaun White Snowboarding: Road Trip    Read the review,Wii,Ubisoft,Ubisoft Montreal,8.5,7.8,N/A,N/A,1.66m,0.93m,0.56m,N/A,0.16m,16th Nov 08,N/A,23927,Sports
19,Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon    Read the review,PS2,Atlus,Atlus Co.,8.5,8.0,N/A,0.18m,N/A,N/A,N/A,N/A,N/A,12th May 09,N/A,34867,Role-Playing
20,Sid Meier's Civilization Revolution    Read the review,DS,2K Games,Firaxis,8.5,8.2,7.6,N/A,0.45m,0.37m,0.03m,0.02m,0.03m,08th Jul 08,N/A,21982,Strategy
21,Tales of Arise    Read the review,PS5,Bandai Namco,Bandai Namco Studios,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Sep 21,10th Jun 21,228913,Role-Playing
22,Tales of Monkey Island Chapter 4: The Trial and Execution of Guybrush Threepwood    Read the review,PC,Telltale Games,Telltale Games,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Oct 09,N/A,37325,Adventure
23,The Movies    Read the review,PC,Lionhead Studios,Lionhead Studios,8.5,8.2,N/A,N/A,0.04m,0.01m,0.03m,N/A,0.00m,08th Nov 05,N/A,16290,Simulation
24,The Pathless    Read the review,PS5,Annapurna Interactive,Giant Squid Studios,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 20,15th Jun 20,226730,Adventure
25,Transistor    Read the review,PS4,Supergiant Games,Supergiant Games,8.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20th May 14,20th Apr 18,73122,Role-Playing
26,Trials HD    Read the review,XBL,Microsoft,"RedLynx, Ltd.",8.5,8.6,N/A,2.00m,N/A,N/A,N/A,N/A,N/A,12th Aug 09,N/A,35125,Racing
27,Yakuza: Like a Dragon    Read the review,PS4,Sega,Sega,8.5,N/A,N/A,0.45m,N/A,N/A,N/A,N/A,N/A,13th Nov 20,05th Nov 19,225652,Action-Adventure
28,Ace Attorney Investigations: Miles Edgeworth    Read the review,DS,Capcom,Capcom,8.4,7.7,N/A,N/A,0.70m,0.23m,0.14m,0.30m,0.04m,16th Feb 10,N/A,33988,Adventure
