,ID,Game,Genre,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
38,28004,BioShock 2    Read the review,Shooter,PS3,2K Games,2K Marin,9.1,8.5,,,1.55m,0.85m,0.46m,0.02m,0.22m,09th Feb 10,
39,28002,BioShock 2    Read the review,Shooter,X360,2K Games,2K Marin,9.1,8.6,,,2.20m,1.45m,0.54m,0.02m,0.20m,09th Feb 10,
40,44025,DiRT 3    Read the review,Racing,X360,Codemasters,Codemasters,9.1,9.1,,,0.71m,0.23m,0.40m,0.01m,0.07m,24th May 11,
41,7703,Heavy Rain    Read the review,Adventure,PS3,Sony Computer Entertainment,Quantic Dream,9.1,8.8,8.6,3.00m,,,,,,23rd Feb 10,
42,12253,Killzone 2    Read the review,Shooter,PS3,Sony Computer Entertainment,Guerrilla Games,9.1,9.1,9.3,1.00m,,,,,,27th Feb 09,
43,32125,Mario & Luigi: Bowser's Inside Story    Read the review,Role-Playing,DS,Nintendo,AlphaDream Corporation,9.1,9.1,,4.56m,,,,,,14th Sep 09,
44,26681,Monster Hunter Tri    Read the review,Role-Playing,Wii,Capcom,Capcom Production Studio 1,9.1,8.1,10.0,1.90m,,,,,,20th Apr 10,
45,35076,New Super Mario Bros. Wii    Read the review,Platform,Wii,Nintendo,Nintendo EAD,9.1,8.6,9.2,30.32m,,,,,,15th Nov 09,
46,31326,Red Dead Redemption    Read the review,Action,PS3,Rockstar Games,Rockstar San Diego,9.1,9.5,,,6.57m,2.82m,2.58m,0.17m,1.00m,11th Oct 11,
47,31325,Red Dead Redemption    Read the review,Action,X360,Rockstar Games,Rockstar San Diego,9.1,9.5,10.0,,6.50m,3.77m,2.03m,0.09m,0.60m,18th May 10,
48,12846,Rock Band    Read the review,Misc,PS3,MTV Games,Harmonix Music Systems,9.1,9.1,,,1.62m,0.99m,0.41m,,0.22m,20th Nov 07,
49,6965,Rock Band    Read the review,Misc,X360,MTV Games,Harmonix Music Systems,9.1,9.1,,,2.47m,1.93m,0.33m,,0.21m,20th Nov 07,
50,13112,Street Fighter IV    Read the review,Fighting,PS3,Capcom,Capcom / Dimps Corporation,9.1,9.3,9.0,,4.19m,2.04m,1.05m,0.59m,0.52m,17th Feb 09,
51,16065,Street Fighter IV    Read the review,Fighting,X360,Capcom,Capcom / Dimps Corporation,9.1,9.3,9.3,,2.95m,1.83m,0.70m,0.15m,0.26m,17th Feb 09,
52,27959,The Witcher: Enhanced Edition    Read the review,Role-Playing,PC,Atari,CD Projekt Red Studio,9.1,8.3,,,0.33m,0.32m,0.01m,,,16th Sep 08,
53,223017,Astebreed    Read the review,Shooter,NS,Unknown,Edelweiss,9.0,,,,,,,,,,07th Nov 18
54,221995,Battlefield V    Read the review,Shooter,PS4,Electronic Arts,EA DICE,9.0,,,,2.22m,0.80m,0.93m,0.16m,0.34m,20th Nov 18,19th Dec 18
55,220342,Celeste    Read the review,Platform,NS,Matt Makes Games Inc.,Matt Makes Games Inc.,9.0,9.3,,,,,,,,25th Jan 18,13th Jan 18
56,222247,Control    Read the review,Adventure,XOne,505 Games,Remedy,9.0,,,,,,,,,27th Aug 19,26th May 19
57,224914,Darksiders Genesis    Read the review,Action-Adventure,PC,THQ Nordic,Airship Syndicate,9.0,,,,,,,,,05th Dec 20,08th Jun 19
58,222132,Devil May Cry 5    Read the review,Action,XOne,Capcom,Capcom,9.0,,,,,,,,,08th Mar 19,21st Mar 19
59,85671,Final Fantasy VII Remake    Read the review,Role-Playing,PS4,Square Enix,Square Enix,9.0,,,5.00m,,,,,,10th Apr 20,05th Aug 20
60,227318,Ghostrunner    Read the review,Action,PC,505 Games,One More Level,9.0,,,,,,,,,27th Oct 20,15th Sep 20
61,228355,Ghosts 'n Goblins Resurrection    Read the review,Platform,NS,Capcom,Capcom,9.0,,,,,,,,,25th Feb 21,26th Feb 21
62,120125,God of War (2018)    Read the review,Action,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,9.0,9.7,10.0,11.00m,,,,,,20th Apr 18,03rd Dec 18
63,221991,Ikaruga    Read the review,Shooter,NS,Unknown,Treasure,9.0,,,,,,,,,,21st May 18
64,229241,Metroid Dread    Read the review,Platform,NS,Nintendo,Nintendo,9.0,,,,,,,,,08th Oct 21,15th Jun 21
65,213656,Octopath Traveler    Read the review,Role-Playing,NS,Nintendo,Square Enix,9.0,8.1,8.7,1.90m,,,,,,13th Jul 18,02nd Oct 18
66,222109,Ori and the Will of the Wisps    Read the review,Action-Adventure,XOne,Xbox Game Studios,Moon Studios,9.0,,,,,,,,,11th Mar 20,04th Aug 20
67,224750,Persona 5 Royal    Read the review,Role-Playing,PS4,Atlus,Atlus,9.0,,,1.80m,,,,,,31st Mar 20,05th Aug 20
68,222115,Sekiro: Shadows Die Twice    Read the review,Role-Playing,PC,Activision,From Software,9.0,,,,,,,,,22nd Mar 19,11th Jun 18
69,182722,Shadow of the Colossus    Read the review,Action-Adventure,PS4,Sony Interactive Entertainment,Bluepoint Games,9.0,9.3,,,1.20m,0.44m,0.52m,0.05m,0.19m,06th Feb 18,26th Nov 18
70,221289,Super Smash Bros. Ultimate    Read the review,Fighting,NS,Nintendo,Bandai Namco Games,9.0,9.4,9.7,24.77m,,,,,,07th Dec 18,18th Oct 18
71,47275,The ICO & Shadow of the Colossus Collection    Read the review,Adventure,PS3,Sony Computer Entertainment,Bluepoint Games,9.0,9.0,,,1.34m,0.67m,0.36m,0.13m,0.18m,27th Sep 11,
72,220842,Valkyria Chronicles 4    Read the review,Role-Playing,PS4,Sega,Sega,9.0,,,,0.25m,0.10m,0.03m,0.08m,0.03m,25th Sep 18,19th Jun 18
73,226586,What the Golf?    Read the review,Sports,NS,Tribute Games,Triband,9.0,,,,,,,,,21st May 20,20th May 20
74,29053,Assassin's Creed II    Read the review,Action,PS3,Ubisoft,Ubisoft Montreal,9.0,9.0,,,5.57m,2.54m,1.95m,0.21m,0.86m,17th Nov 09,03rd Jan 18
75,29056,Assassin's Creed II    Read the review,Action,X360,Ubisoft,Ubisoft Montreal,9.0,9.1,,,5.30m,3.14m,1.55m,0.08m,0.52m,17th Nov 09,
76,31494,Batman: Arkham Asylum    Read the review,Action,X360,Eidos Interactive,Rocksteady Studios,9.0,9.1,,,3.54m,2.24m,0.95m,0.02m,0.33m,25th Aug 09,
77,28847,Call of Duty: Modern Warfare 2    Read the review,Shooter,PS3,Activision,Infinity Ward,9.0,9.5,,,10.61m,4.99m,3.66m,0.38m,1.59m,10th Nov 09,
78,28848,Call of Duty: Modern Warfare 2    Read the review,Shooter,X360,Activision,Infinity Ward,9.0,9.5,9.0,,13.53m,8.54m,3.63m,0.08m,1.28m,10th Nov 09,
79,641,Elite Beat Agents    Read the review,Misc,DS,Nintendo,iNiS,9.0,8.4,,0.12m,,,,,,06th Nov 06,
80,34959,FIFA Soccer 10    Read the review,Sports,PS3,EA Sports,EA Canada,9.0,9.0,,,3.63m,0.60m,2.46m,0.05m,0.52m,20th Oct 09,
81,35354,FIFA Soccer 10    Read the review,Sports,X360,EA Sports,EA Canada,9.0,8.9,,,2.62m,0.60m,1.79m,0.01m,0.23m,20th Oct 09,
82,13437,Final Fantasy IV    Read the review,Role-Playing,DS,Square Enix,Matrix Software,9.0,8.5,9.0,1.20m,,,,,,21st Jul 08,
83,7727,Final Fantasy XIII    Read the review,Role-Playing,PS3,Square Enix,Square Enix,9.0,8.0,9.2,,5.35m,1.75m,1.23m,1.87m,0.51m,09th Mar 10,
84,24628,Final Fantasy XIII    Read the review,Role-Playing,X360,Square Enix,Square Enix,9.0,8.1,,,2.19m,1.30m,0.67m,0.01m,0.21m,09th Mar 10,
85,16548,Gears of War 2    Read the review,Shooter,X360,Microsoft Game Studios,Epic Games,9.0,9.4,9.5,5.00m,,,,,,07th Nov 08,
86,38409,God of War Collection    Read the review,Action,PS3,Sony Computer Entertainment,Bluepoint Games,9.0,9.2,,2.42m,,,,,,17th Nov 09,
87,7102,Grand Theft Auto IV    Read the review,Action,PS3,Rockstar Games,Rockstar North,9.0,10.0,9.0,,10.57m,4.79m,3.73m,0.44m,1.62m,29th Apr 08,
88,7103,Grand Theft Auto IV    Read the review,Action,X360,Rockstar Games,Rockstar North,9.0,10.0,,,11.09m,6.80m,3.11m,0.14m,1.04m,29th Apr 08,
89,31219,Grand Theft Auto IV: The Lost and Damned    Read the review,Adventure,XBL,Rockstar Games,Rockstar North,9.0,8.9,,,,,,,,17th Feb 09,
90,3535,Jeanne d'Arc    Read the review,Role-Playing,PSP,Sony Computer Entertainment,Level 5,9.0,8.4,,,0.33m,0.21m,,0.10m,0.02m,21st Aug 07,
91,24035,Kirby Super Star Ultra    Read the review,Platform,DS,Nintendo,HAL Laboratory,9.0,7.3,,2.99m,,,,,,22nd Sep 08,
92,35022,Left 4 Dead 2    Read the review,Shooter,PC,Valve,Certain Affinity / Valve Software,9.0,9.0,,,0.36m,,0.32m,,0.04m,17th Nov 09,
93,35020,Left 4 Dead 2    Read the review,Shooter,X360,Electronic Arts,Certain Affinity / Valve Software,9.0,9.0,,3.00m,,,,,,17th Nov 09,
94,29952,Pocket Tanks,Strategy,PC,Independent,Blitwise Productions,,,,,,,,,,01st Jan 04,
95,13008,Professor Layton and the Diabolical Box    Read the review,Adventure,DS,Nintendo,Level 5,9.0,8.5,,3.88m,,,,,,24th Aug 09,
96,6163,Resident Evil 4    Read the review,Action,Wii,Capcom,Capcom Production Studio 4,9.0,9.2,9.7,2.00m,,,,,,19th Jun 07,20th Jul 19
97,35017,Shadow Complex    Read the review,Shooter,XBL,Microsoft,Chair Entertainment Group,9.0,8.9,,,,,,,,19th Aug 09,
98,24235,Super Street Fighter II Turbo: HD Remix    Read the review,Fighting,XBL,Capcom,Backbone Emeryville,9.0,8.9,,,,,,,,26th Nov 08,
99,31023,The Beatles: Rock Band    Read the review,Misc,PS3,MTV Games,Harmonix Music Systems,9.0,8.7,,,1.12m,0.67m,0.29m,,0.15m,09th Sep 09,
100,31026,The Beatles: Rock Band    Read the review,Misc,Wii,MTV Games,Harmonix Music Systems,9.0,9.0,,,1.71m,1.17m,0.39m,,0.15m,09th Sep 09,
101,31024,The Beatles: Rock Band    Read the review,Misc,X360,MTV Games,Harmonix Music Systems,9.0,8.9,,,1.31m,0.97m,0.23m,,0.11m,09th Sep 09,
102,32942,The Legend of Zelda: Spirit Tracks    Read the review,Adventure,DS,Nintendo,Nintendo EAD,9.0,8.7,,2.96m,,,,,,07th Dec 09,
103,19029,WipEout HD    Read the review,Racing,PSN,Sony Computer Entertainment,Studio Liverpool,9.0,8.7,,,,,,,,25th Sep 08,
104,37940,BUZZ! Quiz World    Read the review,Misc,PS3,Sony Computer Entertainment,Magenta Software,8.9,7.8,,,0.92m,0.16m,0.58m,,0.18m,10th Nov 09,
105,14750,Dissidia: Final Fantasy    Read the review,Fighting,PSP,Square Enix,Square Enix,8.9,8.1,10.0,1.90m,,,,,,25th Aug 09,
106,13868,Left 4 Dead    Read the review,Shooter,X360,Valve Corporation,Certain Affinity / Valve Software,8.9,8.7,9.0,3.00m,,,,,,18th Oct 08,
107,27610,No More Heroes 2: Desperate Struggle    Read the review,Action,Wii,Ubisoft,Grasshopper Manufacture,8.9,8.5,,,0.40m,0.20m,0.11m,0.04m,0.03m,26th Jan 10,
108,39520,PixelJunk Monsters Deluxe    Read the review,Strategy,PSN,Sony Computer Entertainment,Q-Games,8.9,8.7,,,,,,,,01st Oct 09,
109,41581,PixelJunk Monsters Deluxe    Read the review,Strategy,PSP,Sony Computer Entertainment,Q-Games,8.9,8.7,,,0.12m,0.11m,,,0.02m,27th Apr 10,
110,25553,Rhythm Heaven    Read the review,Music,DS,Nintendo,Nintendo SPD Group No.1,8.9,8.5,,3.04m,,,,,,05th Apr 09,31st May 18
111,33214,Silent Hill: Shattered Memories    Read the review,Adventure,Wii,Konami,Climax Group,8.9,7.3,6.8,,0.47m,0.22m,0.19m,0.01m,0.05m,08th Dec 09,
112,13820,StarCraft II: Wings of Liberty    Read the review,Strategy,PC,Blizzard Entertainment,Blizzard Entertainment,8.9,9.3,,6.00m,,,,,,27th Jul 10,25th Jun 18
113,2281,Super Mario Sunshine    Read the review,Platform,GC,Nintendo,Nintendo EAD,8.9,9.2,,5.91m,,,,,,25th Aug 02,
114,2347,Tekken: Dark Resurrection    Read the review,Fighting,PSP,Namco Bandai,8ing/Raizing,8.9,8.7,,3.37m,,,,,,25th Jul 06,
115,12713,Unreal Tournament III     Read the review,Shooter,PC,Midway Games,Epic Games,8.9,8.4,,,0.06m,,0.05m,,0.01m,19th Nov 07,
116,31444,Battlefield: Bad Company 2    Read the review,Shooter,PC,Electronic Arts,EA Digital Illusions CE,8.8,8.8,,,0.72m,0.19m,0.53m,,,02nd Mar 10,
117,23993,Call of Duty: World at War    Read the review,Shooter,PS3,Activision,Treyarch,8.8,8.4,,,5.43m,2.75m,1.84m,,0.84m,10th Nov 08,
118,23992,Call of Duty: World at War    Read the review,Shooter,X360,Activision,Treyarch,8.8,8.5,7.8,,7.50m,4.88m,1.91m,,0.71m,10th Nov 08,
119,24237,Chrono Trigger    Read the review,Role-Playing,DS,Square Enix,Square Enix,8.8,9.2,,1.10m,,,,,,25th Nov 08,
120,30331,Disgaea 2: Dark Hero Days    Read the review,Role-Playing,PSP,NIS America,Nippon Ichi Software,8.8,8.1,,,0.25m,0.10m,0.01m,0.12m,0.02m,08th Sep 09,
121,843,Gears of War    Read the review,Shooter,X360,Microsoft Game Studios,Epic Games,8.8,9.4,9.4,5.00m,,,,,,07th Nov 06,
122,6964,Halo 3    Read the review,Shooter,X360,Microsoft Game Studios,Bungie Studios,8.8,9.6,9.5,14.50m,,,,,,25th Sep 07,11th Oct 18
123,7198,ICO    Read the review,Adventure,PS2,Sony Computer Entertainment,Team ICO,8.8,8.8,,,0.47m,0.23m,0.18m,,0.06m,24th Sep 01,
124,25648,Little King's Story    Read the review,Strategy,Wii,Xseed Games,Cing Inc. / Town Factory,8.8,8.5,9.0,0.13m,,,,,,21st Jul 09,
