,Title,Year,Genre,Rating,Director,Votes
56,Bloodborne,2015.0,"['Action', 'Adventure', 'Fantasy']",9.2,Hidetaka Miyazaki,4202
57,The Orange Box,2007.0,"['Action', 'Adventure', 'Comedy']",9.2,Robert Guillaume,579
58,The Walking Dead: The Game - Season 1,2012.0,"['Action', 'Adventure', 'Drama']",9.2,Sean Ainsworth,11603
59,Zeruda no densetsu: Toki no okarina 3D,2011.0,"['Action', 'Adventure', 'Family']",9.2,Fujiko Takimoto,974
60,Omori,2020.0,"['Adventure', 'Drama', 'Fantasy']",9.2,Omocat,94
61,Batman: Arkham Asylum,2009.0,"['Action', 'Adventure', 'Crime']",9.2,Sefton Hill,25479
62,Mass Effect,2007.0,"['Action', 'Adventure', 'Sci-Fi']",9.2,Casey Hudson,17203
63,God of War II,2007.0,"['Action', 'Adventure', 'Fantasy']",9.2,Cory Barlog,8476
64,Biohazard 4,2005.0,"['Action', 'Adventure', 'Horror']",9.2,Kuniomi Matsushita,12066
65,Mafia: The City of Lost Heaven,2002.0,"['Action', 'Crime', 'Drama']",9.2,Daniel Vávra,5634
66,Kingdom Hearts,2002.0,"['Action', 'Adventure', 'Family']",9.2,Tetsuya Nomura,7053
67,Grand Theft Auto: Vice City,2002.0,"['Action', 'Adventure', 'Crime']",9.2,Ray Liotta,24843
68,Gensô suikoden II,1998.0,"['Action', 'Adventure', 'Drama']",9.2,Yoshitaka Murayama,393
69,Metal Gear Solid: Integral,1999.0,['Action'],9.2,Hideo Kojima,340
70,Max Payne,2001.0,"['Action', 'Adventure', 'Crime']",9.2,James McCaffrey,14444
71,Deus Ex,2000.0,"['Action', 'Mystery', 'Sci-Fi']",9.2,Warren Spector,3096
72,Akumajo Dracula X: Gekka no Yasokyoku,1997.0,"['Action', 'Adventure', 'Fantasy']",9.2,Toru Hagihara,1488
73,Super Mario Bros. 3,1988.0,"['Action', 'Adventure', 'Family']",9.2,Shigeru Miyamoto,4557
74,Monkey Island 2: LeChuck's Revenge,1991.0,"['Adventure', 'Comedy', 'Fantasy']",9.2,Ron Gilbert,2283
75,Half-Life,1998.0,"['Action', 'Adventure', 'Sci-Fi']",9.2,Randy Pitchford,9609
76,Grim Fandango,1998.0,"['Animation', 'Adventure', 'Comedy']",9.2,Tim Schafer,3404
77,Fallout: A Post-Nuclear Role-Playing Game,1997.0,"['Action', 'Adventure', 'Sci-Fi']",9.2,Feargus Urquhart,3647
78,Ori and the Will of the Wisps,2020.0,"['Adventure', 'Fantasy']",9.1,Erik Braa,773
79,Resident Evil 2,2019.0,"['Action', 'Adventure', 'Horror']",9.1,Yasuhiro Anpo,5669
80,Final Fantasy VII Remake,2020.0,"['Action', 'Adventure', 'Fantasy']",9.1,Tetsuya Nomura,2850
81,Kingdom Hearts HD 1.5 Remix,2013.0,"['Action', 'Adventure', 'Family']",9.1,Tetsuya Nomura,736
82,Dark Souls III,2016.0,"['Action', 'Adventure', 'Fantasy']",9.1,Hidetaka Miyazaki,3327
83,Horizon Zero Dawn,2017.0,"['Action', 'Adventure', 'Fantasy']",9.1,Mathijs de Jonge,11330
84,Primordia,2012.0,"['Action', 'Sci-Fi']",9.1,Mario Bueno,140
85,Mob of the Dead,2013.0,"['Action', 'Horror', 'Thriller']",9.1,Corky Lehmkuhl,761
86,Dark Souls,2011.0,"['Action', 'Adventure', 'Fantasy']",9.1,Hidetaka Miyazaki,3913
87,Mass Effect 3,2012.0,"['Action', 'Adventure', 'Sci-Fi']",9.1,Casey Hudson,14806
88,BioShock Infinite,2013.0,"['Action', 'Adventure', 'Mystery']",9.1,Ken Levine,18987
89,Dragon Age: Origins,2009.0,"['Action', 'Adventure', 'Fantasy']",9.1,Dan Tudge,7576
90,Disco Elysium - The Final Cut,2021.0,"['Crime', 'Mystery']",9.1,Lenval Brown,79
91,Gothic II: Die Nacht des Raben,2003.0,"['Action', 'Fantasy']",9.1,,358
92,Outlast Trinity,2017.0,['Horror'],9.1,Andreas Apergis,36
93,Metal Gear Solid: The Legacy Collection,2013.0,,9.1,Hideo Kojima,17
94,Ratchet & Clank: Rift Apart,2021.0,"['Animation', 'Action', 'Adventure']",9.1,James Arnold Taylor,702
95,Batman: Arkham Collection,2018.0,['Adventure'],9.1,Sefton Hill,52
96,Persona 3 FES,2007.0,"['Action', 'Adventure', 'Fantasy']",9.1,Katsura Hashino,579
97,Assassin's Creed II,2009.0,"['Action', 'Adventure', 'Fantasy']",9.1,Sylvain Bernard,21674
98,God of War III,2010.0,"['Action', 'Adventure', 'Drama']",9.1,Stig Asmussen,9445
99,Portal,2007.0,"['Action', 'Adventure', 'Comedy']",9.1,Ellen McLain,11824
100,Disco Elysium,2019.0,"['Crime', 'Mystery']",9.1,Mikee W. Goodman,458
101,The Walking Dead: The Telltale Definitive Series,2019.0,['Horror'],9.1,Dave Fennoy,256
102,BioShock,2007.0,"['Action', 'Adventure', 'Horror']",9.1,Ken Levine,18489
103,Fallout 3,2008.0,"['Action', 'Adventure', 'Sci-Fi']",9.1,Todd Howard,18235
104,Gothic II,2002.0,"['Action', 'Fantasy']",9.1,Renier Baaken,727
105,Half-Life 2: Episode Two,2007.0,"['Action', 'Adventure', 'Sci-Fi']",9.1,David Speyrer,5978
106,Vampire: The Masquerade - Bloodlines,2004.0,"['Action', 'Adventure', 'Horror']",9.1,Jason Anderson,1728
107,Paper Mario RPG,2004.0,"['Adventure', 'Fantasy']",9.1,Ryota Kawade,1080
108,God of War,2005.0,"['Action', 'Adventure', 'Fantasy']",9.1,David Jaffe,9469
109,Max Payne 2: The Fall of Max Payne,2003.0,"['Action', 'Adventure', 'Crime']",9.1,James McCaffrey,10284
110,Metal Gear: Ghost Babel,2000.0,"['Action', 'Adventure', 'Thriller']",9.1,Shinta Nojiri,1131
111,Biohazard,2002.0,"['Action', 'Adventure', 'Horror']",9.1,Shinji Mikami,3791
112,UFO - Enemy Unknown,1994.0,"['Action', 'Sci-Fi']",9.1,Julian Gollop,372
113,Dai-Rantô Smash Brothers Deluxe,2001.0,"['Action', 'Fantasy', 'Sci-Fi']",9.1,Masahiro Sakurai,2967
114,Shenmue II,2001.0,"['Action', 'Adventure', 'Crime']",9.1,Shin Ishikawa,808
115,Fainaru fantajî X,2001.0,"['Adventure', 'Fantasy', 'Romance']",9.1,Yoshinori Kitase,6923
116,Baldur's Gate II: Throne of Bhaal,2001.0,"['Action', 'Adventure', 'Fantasy']",9.1,Feargus Urquhart,1225
117,Zeruda no densetsu: Mujura no kamen,2000.0,"['Action', 'Adventure', 'Family']",9.1,Eiji Aonuma,3106
118,Indiana Jones and the Fate of Atlantis,1992.0,"['Action', 'Adventure', 'Fantasy']",9.1,Hal Barwood,1554
