,Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,ID,Genre
0,Trace Memory    Read the review,DS,Nintendo,Cing,6.7,6.5,N/A,N/A,0.29m,0.15m,0.01m,0.12m,0.01m,26th Sep 05,N/A,2519,Adventure
1,Wet    Read the review,PS3,Bethesda Softworks,Artificial Mind and Movement,6.7,6.9,N/A,N/A,0.62m,0.22m,0.27m,0.01m,0.11m,15th Sep 09,N/A,13823,Shooter
2,Wet    Read the review,X360,Bethesda Softworks,Artificial Mind and Movement,6.7,6.9,N/A,N/A,0.50m,0.23m,0.21m,0.01m,0.05m,15th Sep 09,N/A,13824,Shooter
3,Yu-Gi-Oh! 5D's Wheelie Breakers    Read the review,Wii,Konami,Konami,6.7,7.5,N/A,N/A,0.10m,0.09m,0.01m,N/A,0.01m,19th May 09,N/A,34869,Racing
4,1942: Joint Strike    Read the review,PSN,Capcom,Backbone Entertainment,6.6,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Jul 08,N/A,24531,Shooter
5,1942: Joint Strike    Read the review,XBL,Capcom,Backbone Entertainment,6.6,6.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23rd Jul 08,N/A,24532,Shooter
6,Reel Deal Casino: Millionaire's Club    Read the review,PC,Phantom EFX,Phantom EFX,6.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,02nd Sep 08,N/A,26404,Misc
7,Too Human    Read the review,X360,Microsoft Game Studios,Silicon Knights,6.6,6.5,N/A,N/A,0.78m,0.38m,0.30m,0.03m,0.08m,19th Aug 08,N/A,22053,Role-Playing
8,4PM    Read the review,PC,4PM Game LTD,4PM Game LTD,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,09th Jul 14,01st Aug 18,83572,Adventure
9,Alex Kidd in Miracle World DX    Read the review,PC,Merge Games,Merge Games,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Jun 21,20th May 21,228842,Platform
10,Beach Buggy Racing 2: Island Adventure    Read the review,NS,Unknown,Vector Unit,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17th Mar 21,228483,Racing
11,Blue Fire    Read the review,NS,Graffiti,Robi Studios,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 21,04th Aug 20,227049,Action-Adventure
12,Curved Space    Read the review,PS4,Unknown,Only By Midnight Ltd.,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Jun 21,229325,Shooter
13,Dariusburst: Another Chronicle EX+    Read the review,NS,Unknown,Taito,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,06th Jun 21,228887,Shooter
14,Defend Your Castle     Read the review,WW,XGenStudios,XGen Studios,6.5,6.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th May 08,N/A,19607,Strategy
15,Dokapon Kingdom    Read the review,Wii,Atlus,Sting,6.5,7.2,N/A,N/A,0.13m,0.12m,N/A,N/A,0.01m,14th Oct 08,N/A,22964,Role-Playing
16,Dragon Ball Z: Attack of the Saiyans    Read the review,DS,Namco Bandai,Monolith Soft,6.5,7.2,N/A,0.19m,N/A,N/A,N/A,N/A,N/A,10th Nov 09,N/A,34360,Role-Playing
17,Dragon Ball: Raging Blast,PS3,Namco Bandai,Spike,N/A,5.6,N/A,N/A,0.77m,0.37m,0.19m,0.11m,0.10m,10th Nov 09,N/A,34641,Fighting
18,Dragon Ball: Raging Blast    Read the review,X360,Namco Bandai,Spike,6.5,5.8,N/A,N/A,0.51m,0.36m,0.08m,0.02m,0.04m,10th Nov 09,N/A,34642,Fighting
19,FaceBreaker K.O. Party     Read the review,Wii,Electronic Arts,EA Freestyle,6.5,6.7,N/A,N/A,0.22m,0.19m,0.01m,N/A,0.02m,11th Nov 08,N/A,25231,Fighting
20,Greedfall: The De Vespe Conspiracy    Read the review,XS,Unknown,Spiders,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,04th Jul 21,229330,Role-Playing
