,Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,ID,Genre
0,'Splosion Man    Read the review,XBL,Twisted Pixel Games,Twisted Pixel Games,8.0,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22nd Jul 09,N/A,34901,Platform
1,Blueberry Garden    Read the review,PC,Erik Svedäng,Erik Svedäng,8.0,5.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th Jun 09,N/A,35213,Adventure
2,Call of Juarez: Bound in Blood    Read the review,PS3,Ubisoft,Techland,8.0,7.7,N/A,N/A,0.88m,0.35m,0.38m,0.01m,0.15m,30th Jun 09,N/A,30702,Shooter
3,Call of Juarez: Bound in Blood    Read the review,X360,Ubisoft,Techland,8.0,7.6,N/A,N/A,0.60m,0.30m,0.24m,0.00m,0.06m,30th Jun 09,N/A,30701,Shooter
4,DiRT    Read the review,PS3,Codemasters,Codemasters,8.0,8.3,N/A,N/A,1.05m,0.16m,0.66m,N/A,0.23m,11th Sep 07,N/A,6991,Racing
5,DiRT    Read the review,X360,Codemasters,Codemasters,8.0,8.4,N/A,N/A,0.87m,0.38m,0.40m,N/A,0.09m,19th Jun 07,N/A,6710,Racing
6,DJ Hero    Read the review,PS3,Activision,FreeStyleGames,8.0,8.5,N/A,N/A,0.90m,0.42m,0.34m,N/A,0.15m,27th Oct 09,N/A,34272,Misc
7,DJ Hero    Read the review,Wii,Activision,FreeStyleGames,8.0,8.6,N/A,N/A,0.78m,0.47m,0.23m,N/A,0.08m,27th Oct 09,N/A,34270,Misc
8,DJ Hero    Read the review,X360,Activision,FreeStyleGames,8.0,8.4,N/A,N/A,1.09m,0.59m,0.39m,N/A,0.11m,27th Oct 09,N/A,34271,Misc
9,Dr. Mario Online RX,WW,Nintendo,Arika,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th May 08,N/A,19605,Puzzle
10,Dr. Mario Online Rx    Read the review,WW,Nintendo,Nintendo,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26th May 08,N/A,28953,Puzzle
11,Dragon Quest IV: Chapters of the Chosen    Read the review,DS,Square Enix,ArtePiazza,8.0,8.1,8.0,1.60m,N/A,N/A,N/A,N/A,N/A,16th Sep 08,N/A,7692,Role-Playing
12,Final Fantasy Crystal Chronicles: My Life as a King    Read the review,WW,Square Enix,Square Enix,8.0,7.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12th May 08,N/A,18893,Strategy
13,Guitar Hero On Tour: Modern Hits    Read the review,DS,Activision,Activision,8.0,7.3,N/A,N/A,0.37m,0.13m,0.20m,N/A,0.04m,09th Jun 09,N/A,33482,Misc
14,Heroes of Newerth    Read the review,PC,S2 Games,S2 Games,8.0,N/A,N/A,0.53m,N/A,N/A,N/A,N/A,N/A,12th May 10,N/A,40166,Strategy
15,Lazy Raiders    Read the review,XBL,Sarbakan,Sarbakan Inc.,8.0,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24th Feb 10,N/A,41850,Action
16,MotorStorm: Arctic Edge    Read the review,PSP,Sony Computer Entertainment,Bigbig Studios,8.0,7.7,N/A,N/A,1.04m,0.16m,0.58m,0.00m,0.30m,29th Sep 09,N/A,32173,Racing
17,Ninjatown    Read the review,DS,SouthPeak Interactive,Venan Entertainment / Cashmere Productions,8.0,N/A,N/A,N/A,0.13m,0.12m,0.00m,N/A,0.01m,28th Oct 08,N/A,13861,Strategy
18,Phoenix Wright: Ace Attorney    Read the review,DS,Capcom,Capcom,8.0,8.1,N/A,N/A,0.93m,0.44m,0.05m,0.39m,0.05m,12th Oct 05,N/A,4009,Adventure
19,Puchi Puchi Virus    Read the review,DS,NIS America,Keys Factory,8.0,7.4,N/A,N/A,0.09m,0.08m,N/A,N/A,0.01m,20th May 09,N/A,18651,Puzzle
20,QuantZ    Read the review,PC,Gamerizon,Gamerizon,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13th Aug 08,N/A,38560,Puzzle
21,Ratchet & Clank Future: Quest for Booty    Read the review,PSN,Sony Computer Entertainment,Insomniac Games,8.0,7.7,8.7,N/A,0.09m,0.01m,0.06m,N/A,0.02m,21st Aug 08,N/A,24668,Platform
22,Red Steel 2    Read the review,Wii,Ubisoft,Ubisoft Paris,8.0,7.8,8.5,0.27m,N/A,N/A,N/A,N/A,N/A,23rd Mar 10,N/A,16284,Shooter
23,Resonance of Fate    Read the review,PS3,Sega,tri-Ace,8.0,7.5,8.2,N/A,0.74m,0.20m,0.22m,0.24m,0.08m,16th Mar 10,N/A,33401,Role-Playing
24,Resonance of Fate    Read the review,X360,Sega,tri-Ace,8.0,7.4,N/A,N/A,0.33m,0.12m,0.13m,0.06m,0.03m,16th Mar 10,N/A,33400,Role-Playing
25,Rune Factory: A Fantasy Harvest Moon    Read the review,DS,Natsume,Neverland Company,8.0,8.1,N/A,N/A,0.53m,0.35m,0.01m,0.14m,0.03m,14th Aug 07,N/A,4207,Role-Playing
26,Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone    Read the review,PC,Telltale Games,Telltale Games,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Apr 10,N/A,44052,Adventure
27,Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone    Read the review,PSN,Telltale Games,Telltale Games,8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15th Apr 10,N/A,43733,Adventure
28,Skate    Read the review,PS3,Electronic Arts,EA Black Box,8.0,N/A,N/A,N/A,0.37m,0.29m,0.04m,0.00m,0.03m,24th Sep 07,N/A,6988,Sports
29,Sonic & SEGA All-Stars Racing    Read the review,PS3,Sega,Sumo Digital,8.0,8.0,N/A,N/A,0.96m,0.36m,0.44m,N/A,0.16m,23rd Feb 10,N/A,34893,Racing
30,Sonic & SEGA All-Stars Racing    Read the review,Wii,Sega,Sumo Digital,8.0,7.9,N/A,N/A,1.45m,0.61m,0.69m,N/A,0.15m,23rd Feb 10,N/A,34891,Racing
